player1,numeric,tag_similarity,categorical,tag_numeric,tag_categorical,numeric_categorical,all,player2
Ugo Humbert,,,0.6396021490668313,,,,0.6396021490668313,Corentin Moutet
Pierre-Hugues Herbert,,,0.6708203932499369,,,,0.6708203932499369,Corentin Moutet
Brandon Nakashima,,,0.3061862178478973,,,,0.3061862178478973,Corentin Moutet
Andrea Vavassori,,,0.5773502691896258,,,,0.5773502691896258,Corentin Moutet
Anna-Lena Friedsam,,,0.5590169943749475,,,,0.5590169943749475,Corentin Moutet
Zeynep Sonmez,,,0.31622776601683794,,,,0.31622776601683794,Corentin Moutet
Aliaksandra Sasnovich,,,0.33541019662496846,,,,0.33541019662496846,Corentin Moutet
Jessika Ponchet,,,0.7071067811865476,,,,0.7071067811865476,Corentin Moutet
Eva Vedder,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Miyu Kato,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Shelby Rogers,,,0.3535533905932738,,,,0.3535533905932738,Corentin Moutet
Kristina Dmitruk,,,0.35355339059327373,,,,0.35355339059327373,Corentin Moutet
Jordan Thompson,,,0.5773502691896258,,,,0.5773502691896258,Corentin Moutet
Liudmila Samsonova,,,0.3535533905932738,,,,0.3535533905932738,Corentin Moutet
Eva Lys,,,0.7071067811865476,,,,0.7071067811865476,Corentin Moutet
Celine Naef,,,0.7071067811865476,,,,0.7071067811865476,Corentin Moutet
Victoria Azarenka,,,0.3061862178478973,,,,0.3061862178478973,Corentin Moutet
Lesley Pattinama Kerkhove,,,0.375,,,,0.375,Corentin Moutet
Noah Gabriel,,,0.31622776601683794,,,,0.31622776601683794,Corentin Moutet
Borna Coric,,,0.42640143271122083,,,,0.42640143271122083,Corentin Moutet
Laslo Djere,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Mai Hontama,,,0.5,,,,0.5,Corentin Moutet
Katie Volynets,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Evgeniya Rodina,,,0.375,,,,0.375,Corentin Moutet
Ricardas Berankis,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Bernabe Zapata Miralles,,,0.3779644730092272,,,,0.3779644730092272,Corentin Moutet
Raluka Serban,,,0.5892556509887896,,,,0.5892556509887896,Corentin Moutet
